id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Crown the Block,Verse King,hip-hop,euphoric,0.87,96,0.78,0.91,0.08
12,Elegy in D Minor,The Hollow Strings,classical,melancholic,0.22,58,0.24,0.18,0.97
13,Shatter the Walls,Iron Siege,metal,aggressive,0.96,172,0.31,0.55,0.06
14,Island Remedy,Rootstone,reggae,nostalgic,0.54,82,0.74,0.70,0.63
15,Porch and Fireflies,June Carter Blue,country,romantic,0.45,94,0.83,0.52,0.81
16,Crossroads at Dusk,Old Hollow,blues,sorrowful,0.38,68,0.29,0.44,0.88
17,Velvet Static,Morae,r&b,sensual,0.61,102,0.77,0.80,0.31
18,Overdrive Sunrise,Flux State,edm,euphoric,0.94,140,0.85,0.93,0.04
19,Wandering Pine,The Drifted,folk,nostalgic,0.33,74,0.67,0.39,0.90
20,Signal Flare,Torn Wires,punk,rebellious,0.89,164,0.42,0.71,0.07
